@relation 'lineCommentData-weka.filters.unsupervised.attribute.Remove-R41,45-46,50-57,61,65-66,73,81,85-86,103-106,110-weka.filters.unsupervised.attribute.Remove-R30-34,37,40-43,49-52,56-62,65-68-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-26-weka.filters.unsupervised.attribute.Remove-R26-42,51-71-weka.filters.unsupervised.attribute.Remove-R27'

@attribute commentID numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute tokenChange numeric
@attribute wordSize numeric
@attribute codeSimilarity numeric
@attribute oldCodeCommentSimilarity numeric
@attribute newCodeCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute addWordNumber numeric
@attribute deleteWordNumber numeric
@attribute class {0,1}

@data
2022,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,8,8,6,6,3,6,1,6,10,11,11,0,5,0,0
2028,7,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,8,0,2,0,7,9,5,6,9,7,0,1
2037,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,0,5,10,10,10,0,1,1,0
2040,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,5,1,0,7,9,6,6,0,0,3,0
2043,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,6,6,0,2,3,4,0,4,10,11,11,0,0,4,0
2046,4,3,6,1,2,0,0,0,0,1,2,0,0,0,0,0,0,8,8,2,6,4,7,0,8,10,6,6,1,4,0,0
2052,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,6,8,10,1,0,6,10,9,9,0,4,0,0
2055,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,8,0,1,0,2,8,11,11,0,8,1,0
2058,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,8,8,10,1,0,2,8,11,11,0,8,1,0
2061,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,2,8,10,1,0,5,10,10,10,0,2,0,0
2064,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,1,1,6,1,6,11,8,8,0,0,0,1
2070,5,1,2,1,2,1,2,1,2,0,0,2,4,0,0,0,0,7,7,0,5,4,2,0,3,11,9,9,0,0,0,0
2079,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,0,8,10,1,1,6,11,5,5,0,0,0,0
2085,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,7,0,6,10,9,9,0,0,3,0
2094,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,8,11,5,5,3,1,1,0
2106,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,8,0,4,2,8,1,3,10,7,7,0,0,1,0
2109,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,8,11,5,5,0,1,1,0
2112,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,2,1,3,11,4,4,0,1,1,0
2115,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,7,11,6,6,0,1,1,0
2118,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,4,4,0,2,5,2,1,7,11,6,7,1,1,1,0
2121,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,4,4,0,2,5,2,1,7,11,6,6,0,1,1,0
2124,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,7,7,0,4,3,5,1,7,11,7,7,1,1,1,0
2136,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,7,11,6,6,2,1,1,0
2139,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,6,1,7,11,5,5,0,1,1,0
2154,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,1,7,11,5,5,2,1,1,0
2157,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,7,11,5,5,0,0,0,0
2166,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,7,11,5,5,0,0,0,0
2172,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,1,1,4,0,3,10,7,7,0,5,0,1
2178,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,5,7,0,7,9,6,6,0,4,0,1
2181,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,1,1,1,3,1,7,10,9,9,0,1,0,0
2190,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,3,3,0,2,7,1,0,5,8,4,8,42,4,1,0
